book_freq,isNoble,popularity,has_title,has_culture,has_mother,has_father,has_heir,has_house,survival_prob,relevance_score,relevance_category
0.0,0,0.605351171,0,0,1,1,1,0,0.05400000000000005,0.20943779275000002,Low
1.0,1,0.89632107,1,1,0,0,0,1,0.387,0.8321302675000001,Very High
0.2,1,0.267558528,1,0,0,0,0,1,0.493,0.44083963200000004,Medium
0.0,1,0.183946488,1,0,0,0,0,1,0.07599999999999996,0.307386622,Medium
0.2,1,0.043478261,1,1,0,0,0,1,0.617,0.45341956524999993,Medium
0.0,0,1.0,0,0,1,1,1,0,0.02100000000000002,0.30315,Medium
0.0,1,0.431438127,1,1,0,0,0,1,0.014000000000000012,0.40995953175,Medium
0.0,0,0.678929766,0,0,1,1,1,0,0.03600000000000003,0.22513244150000003,Low
0.2,1,0.006688963,1,0,0,0,0,0,0.724,0.36027224075,Medium
0.0,1,0.02006689,1,0,0,0,0,1,0.391,0.3136667225,Medium
0.4,0,0.163879599,0,0,0,0,0,1,0.16700000000000004,0.21601989975000002,Low
0.2,0,0.003344482,0,0,0,0,0,0,0.985,0.1985861205,Low
0.0,0,0.003344482,0,0,0,0,0,0,0.813,0.12278612049999998,Low
0.0,0,0.003344482,0,0,0,0,0,1,0.747,0.1628861205,Low
0.0,0,0.003344482,0,0,0,0,0,1,0.7050000000000001,0.1565861205,Low
0.2,0,0.013377926,0,1,0,0,0,1,0.996,0.3027444815,Medium
0.2,0,0.013377926,0,0,0,0,0,0,0.984,0.2009444815,Low
0.0,1,0.02006689,1,0,0,0,0,1,0.604,0.34561672250000003,Medium
0.2,1,0.006688963,1,0,0,0,0,0,0.998,0.40137224075,Medium
0.2,0,0.010033445,0,0,0,0,0,1,0.922,0.24080836125,Low
0.4,1,0.02006689,1,0,0,0,0,1,0.974,0.5011167225000001,High
0.0,1,0.023411371,1,0,0,0,0,1,0.02200000000000002,0.25915284275,Medium
0.2,0,0.033444816,0,0,0,0,0,1,0.768,0.223561204,Low
0.2,1,0.0,1,0,0,0,0,0,0.5609999999999999,0.33415,Medium
0.0,0,0.003344482,0,0,0,0,0,1,0.9359999999999999,0.1912361205,Low
0.2,0,0.050167224,0,1,0,0,0,0,0.21699999999999997,0.145091806,Low
0.2,0,0.030100334,0,0,0,0,0,0,0.19299999999999995,0.0864750835,Low
0.4,0,0.023411371,0,1,0,0,0,1,0.71,0.31235284274999997,Medium
0.2,0,0.006688963,0,0,0,0,0,0,0.8089999999999999,0.17302224075,Low
0.2,0,0.026755853,0,1,0,0,0,1,0.20299999999999996,0.18713896325,Low
0.0,0,0.013377926,0,0,0,0,0,1,0.908,0.18954448149999997,Low
0.2,0,0.050167224,0,0,0,0,0,0,0.15500000000000003,0.08579180600000001,Low
0.4,0,0.026755853,0,0,0,0,0,1,0.10699999999999998,0.17273896325,Low
0.4,0,0.056856187,0,0,0,0,0,1,0.835,0.28946404675,Medium
0.2,0,0.02006689,0,1,0,0,0,0,0.996,0.2544167225,Medium
0.2,0,0.010033445,0,0,0,0,0,1,0.989,0.25085836125,Medium
0.2,0,0.02006689,0,0,0,0,0,1,0.998,0.2547167225,Medium
0.2,0,0.010033445,0,1,0,0,0,1,0.997,0.30205836124999996,Medium
0.0,0,0.0,0,0,0,0,0,1,0.965,0.19474999999999998,Low
0.2,0,0.023411371,0,1,0,0,0,0,0.98,0.25285284275,Medium
0.0,1,0.003344482,1,0,0,0,0,0,0.76,0.3148361205,Medium
0.2,0,0.013377926,0,0,0,0,0,1,0.759,0.21719448149999998,Low
0.2,0,0.040133779,0,0,0,0,0,0,0.18400000000000005,0.08763344475000001,Low
0.2,1,0.006688963,1,0,0,0,0,0,0.996,0.40107224075000003,Medium
0.2,0,0.013377926,0,0,0,0,0,0,0.8089999999999999,0.1746944815,Low
0.2,0,0.013377926,1,1,0,0,0,0,0.498,0.2780444815,Medium
0.2,0,0.010033445,0,1,0,0,0,1,0.967,0.29755836124999996,Medium
